(['Albania', 'Belarus', 'Poland', 'San Marino', 'Armenia', 'Italy', 'Malta', 'Austria', 'Azerbaijan', 'United Kingdom','Russia', 'FYR','Macedonia', 'Moldova', 'Lithuania', 'Montenegro', 'Ukraine', 'Estonia', 'Germany', 'Romania', 'Latvia', 'Denmark', 'Georgia', 'Sweden','Belgium', 'Portugal', 'Israel', 'Norway', 'Switzerland', 'Greece', 'Hungary', 'Finland', 'France', 'Slovenia', 'Ireland', 'Iceland','Spain', 'The Netherlands'], 2529)
(['Armenia', 'Italy', 'San Marino', 'Albania', 'Belarus', 'Poland', 'Malta', 'Russia', 'Germany', 'Azerbaijan', 'Montenegro', 'Norway','FYR Macedonia', 'Moldova', 'Austria', 'Finland', 'Ukraine', 'Estonia', 'Denmark', 'Georgia', 'Romania', 'Latvia', 'Belgium', 'Spain','Switzerland', 'Ireland', 'France', 'Greece', 'Iceland', 'Portugal', 'Slovenia', 'Hungary', 'The Netherlands', 'Sweden', 'Lithuania','United Kingdom', 'Israel'], 2533)
(['United Kingdom', 'Armenia', 'Montenegro', 'Albania', 'Poland', 'Belarus', 'Malta', 'Russia', 'Azerbaijan', 'Germany', 'San Marino', 'Moldova', 'Ireland', 'Austria', 'FYR Macedonia', 'The Netherlands', 'Estonia', 'Romania', 'Denmark', 'Georgia', 'Latvia', 'Iceland', 'France', 'Hungary', 'Greece', 'Spain', 'Israel', 'Belgium', 'Ukraine', 'Switzerland', 'Sweden', 'Lithuania', 'Norway', 'Slovenia', 'Portugal', 'Finland', 'Italy'], 2584)
(['San Marino', 'Armenia', 'Italy', 'Montenegro', 'Poland', 'Malta', 'Albania', 'Belarus', 'Germany', 'Azerbaijan', 'Denmark', 'Moldova', 'Austria', 'Russia', 'Estonia', 'The Netherlands', 'Lithuania', 'FYR Macedonia', 'Romania', 'Georgia', 'Latvia', 'Norway', 'Finland', 'Ireland', 'Spain', 'Portugal', 'Greece', 'Sweden', 'Belgium', 'France', 'Switzerland', 'Hungary', 'Ukraine', 'Slovenia', 'Iceland', 'United Kingdom', 'Israel'], 2550)
(['Armenia', 'Montenegro', 'Germany', 'Moldova', 'Albania', 'Poland', 'Malta', 'Azerbaijan', 'San Marino', 'Norway', 'Belarus', 'Russia', 'Sweden', 'Austria', 'Israel', 'Denmark', 'FYR Macedonia', 'Ukraine', 'Estonia', 'Lithuania', 'Georgia', 'Latvia', 'Finland', 'France', 'Slovenia', 'Belgium', 'Iceland', 'Portugal', 'Greece', 'Switzerland', 'United Kingdom', 'Hungary', 'Spain', 'Romania', 'Ireland', 'Italy', 'The Netherlands'], 2589)
(['San Marino', 'Armenia', 'Italy', 'Albania', 'Poland', 'Azerbaijan', 'Malta', 'Russia', 'Austria', 'United Kingdom', 'Belarus', 'FYR Macedonia', 'Moldova', 'Lithuania', 'Montenegro', 'Ukraine', 'Estonia', 'Germany', 'Romania', 'Latvia', 'Finland', 'France', 'Denmark', 'Belgium', 'Greece', 'Hungary', 'Switzerland', 'Israel', 'Norway', 'Sweden', 'Portugal', 'Georgia', 'Slovenia', 'Ireland', 'Iceland', 'Spain', 'The Netherlands'], 2528)
(['Armenia', 'San Marino', 'Italy', 'Albania', 'Belarus', 'Poland', 'Malta', 'Russia', 'Azerbaijan', 'Norway', 'FYR Macedonia', 'Moldova', 'Austria', 'Ireland', 'Montenegro', 'Ukraine', 'Estonia', 'Denmark', 'Georgia', 'Latvia', 'Iceland', 'Romania', 'France', 'Finland', 'Greece', 'Switzerland', 'Spain', 'Israel', 'Hungary', 'Belgium', 'Slovenia', 'Sweden', 'Portugal', 'Germany', 'Lithuania', 'United Kingdom', 'The Netherlands'], 2552)
(['Poland', 'Albania', 'Azerbaijan', 'United Kingdom', 'Russia', 'Armenia', 'San Marino', 'Belarus', 'Malta', 'Austria', 'Italy', 'Montenegro', 'Norway', 'FYR Macedonia', 'Moldova', 'Ukraine', 'Germany', 'Estonia', 'Romania', 'Latvia', 'Georgia', 'Iceland', 'Hungary', 'Spain', 'Greece', 'Israel', 'Switzerland', 'Belgium', 'Sweden', 'Finland', 'Portugal', 'Denmark', 'Slovenia', 'Ireland', 'Lithuania', 'France', 'The Netherlands'], 2555)
(['Albania', 'Germany', 'San Marino', 'Armenia', 'Russia', 'Malta', 'Azerbaijan', 'Poland', 'Belarus', 'Italy', 'FYR Macedonia', 'Moldova', 'Lithuania', 'Montenegro', 'Estonia', 'Ukraine', 'Denmark', 'Austria', 'Finland', 'Georgia', 'Romania', 'Latvia', 'Norway', 'Hungary', 'The Netherlands', 'Israel', 'Switzerland', 'Sweden', 'Iceland', 'Slovenia', 'Belgium', 'Greece', 'Portugal', 'Ireland', 'France', 'United Kingdom', 'Spain'], 2564)
(['Norway', 'Montenegro', 'Armenia', 'Moldova', 'Albania', 'Poland', 'Belarus', 'Malta', 'FYR Macedonia', 'San Marino', 'Italy', 'Azerbaijan', 'Austria', 'Ireland', 'Russia', 'Ukraine', 'Estonia', 'Sweden', 'Romania', 'Latvia', 'Denmark', 'Georgia', 'France', 'Iceland', 'Greece', 'Slovenia', 'Israel', 'Belgium', 'Lithuania', 'Spain', 'Finland', 'Hungary', 'Portugal', 'Switzerland', 'Germany', 'United Kingdom', 'The Netherlands'], 2577)
(['San Marino', 'Armenia', 'Italy', 'Albania', 'Poland', 'Belarus', 'Malta', 'Russia', 'Germany', 'Azerbaijan', 'Montenegro', 'Norway', 'FYR Macedonia', 'Moldova', 'Austria', 'Sweden', 'Ukraine', 'Estonia', 'Romania', 'Lithuania', 'Georgia', 'Latvia', 'Iceland', 'Israel', 'Ireland', 'France', 'Hungary', 'The Netherlands', 'Denmark', 'Finland', 'Portugal', 'Spain', 'Slovenia', 'Switzerland', 'Greece', 'United Kingdom', 'Belgium'], 2561)
(['Armenia', 'Italy', 'San Marino', 'Albania', 'Belarus', 'Poland', 'Malta', 'Montenegro', 'Norway', 'Azerbaijan', 'Austria', 'Russia', 'Ireland', 'Moldova', 'FYR Macedonia', 'Ukraine', 'Estonia', 'Germany', 'Romania', 'Finland', 'Latvia', 'Georgia', 'Lithuania', 'Iceland', 'Slovenia', 'Israel', 'Denmark', 'Switzerland', 'Greece', 'Belgium', 'France', 'Portugal', 'Spain', 'Sweden', 'Hungary', 'United Kingdom', 'The Netherlands'], 2542)
(['Albania', 'Belarus', 'Poland', 'San Marino', 'Armenia', 'Italy', 'Malta', 'Russia', 'Germany', 'Azerbaijan', 'FYR Macedonia', 'Moldova', 'Lithuania', 'Montenegro', 'Romania', 'Austria', 'Ireland', 'Ukraine', 'Estonia', 'Denmark', 'Georgia', 'Latvia', 'Finland', 'Portugal', 'Spain', 'Switzerland', 'France', 'Iceland', 'Belgium', 'Greece', 'Slovenia', 'Hungary', 'Israel', 'Sweden', 'Norway', 'United Kingdom', 'The Netherlands'], 2537)
(['San Marino', 'Armenia', 'Italy', 'Albania', 'Belarus', 'Poland', 'Malta', 'Russia', 'Germany', 'Azerbaijan', 'FYR Macedonia', 'Moldova', 'Denmark', 'Montenegro', 'Ukraine', 'Estonia', 'Finland', 'Austria', 'Sweden', 'Romania', 'Latvia', 'Iceland', 'France', 'Spain', 'Greece', 'Hungary', 'Slovenia', 'Lithuania', 'Switzerland', 'Belgium', 'Portugal', 'Georgia', 'Israel', 'Ireland', 'Norway', 'United Kingdom', 'The Netherlands'], 2534)
(['Belarus', 'Albania', 'Poland', 'San Marino', 'Armenia', 'Italy', 'Malta', 'Montenegro', 'Azerbaijan', 'Ireland', 'Russia', 'Austria', 'Denmark', 'Moldova', 'Germany', 'FYR Macedonia', 'Ukraine', 'Estonia', 'Finland', 'Romania', 'Latvia', 'Georgia', 'Norway', 'Sweden', 'Greece', 'Belgium', 'Hungary', 'Spain', 'Slovenia', 'Iceland', 'Portugal', 'France', 'Israel', 'Switzerland', 'Lithuania', 'United Kingdom', 'The Netherlands'], 2539)
(['Belarus', 'Albania', 'Poland', 'San Marino', 'Armenia', 'Italy', 'Malta', 'Austria', 'Azerbaijan', 'United Kingdom', 'Russia', 'Montenegro', 'Denmark', 'Moldova', 'FYR Macedonia', 'Finland', 'Estonia', 'Georgia', 'Latvia', 'Germany', 'Romania', 'Norway', 'France', 'Lithuania', 'Sweden', 'Belgium', 'Greece', 'Ireland', 'Israel', 'Portugal', 'Hungary', 'Slovenia', 'Ukraine', 'Switzerland', 'Iceland', 'Spain', 'The Netherlands'], 2542)
(['San Marino', 'Armenia', 'Italy', 'Albania', 'Poland', 'Belarus', 'Malta', 'Russia', 'Germany', 'Azerbaijan', 'Montenegro', 'Denmark', 'Moldova', 'Austria', 'Romania', 'Lithuania', 'FYR Macedonia', 'Ukraine', 'Sweden', 'Estonia', 'The Netherlands', 'Latvia', 'Hungary', 'Israel', 'Spain', 'France', 'Portugal', 'Norway', 'Belgium', 'Switzerland', 'United Kingdom', 'Greece', 'Finland', 'Iceland', 'Slovenia', 'Ireland', 'Georgia'], 2548)
(['Azerbaijan', 'Germany', 'San Marino', 'Italy', 'Armenia', 'Albania', 'Poland', 'Malta', 'Montenegro', 'Belarus', 'Denmark', 'Russia', 'Moldova', 'FYR Macedonia', 'Estonia', 'Ukraine', 'Norway', 'Austria', 'Georgia', 'Lithuania', 'France', 'Hungary', 'Iceland', 'Spain', 'Belgium', 'Finland', 'Greece', 'Sweden', 'Israel', 'The Netherlands', 'Slovenia', 'Switzerland', 'United Kingdom', 'Latvia', 'Ireland', 'Portugal', 'Romania'], 2570)
